pair_id,pred_score,true_label
Q9LQL1:O64851,0.013344386592507362,0
F4KDF5:Q9STU5,0.021504899486899376,0
Q8GYY1:Q9FMC8,0.1226525530219078,1
Q9FJQ0:Q56X75,0.015088895335793495,0
O49743:Q9ZU92,0.030652416869997978,0
Q9LVM0:F4JG70,0.01565191149711609,0
F4IT66:Q8GYY7,0.01380487997084856,0
F4IX05:Q1G3M1,0.011638864874839783,0
O23051:Q8LEN7,0.011844689957797527,0
Q9FHN9:Q8S8S9,0.021146927028894424,0
Q9M1Q8:Q9SUW2,0.017642894759774208,0
F4JQJ7:F4JQR6,0.012256368063390255,0
Q9M271:Q56Y59,0.014708705246448517,0
A0A1I9LLD6:O80703,0.01199755072593689,0
Q494P0:Q9LKV3,0.012603607960045338,0
Q9SZ80:Q9ZVI7,0.01186924148350954,0
Q6F6B5:Q9ZU72,0.012364043854176998,0
P46607:Q9LIB4,0.016610266640782356,0
F4IG63:Q0WR90,0.02095191180706024,0
Q8LC68:Q56XZ5,0.14127755165100098,0
Q9LJW1:Q941B2,0.012042472139000893,0
Q9C7U5:Q9FE63,0.012590418569743633,0
Q9SRD6:Q9SU79,0.012719917111098766,0
F4IX22:Q8L8N5,0.017251351848244667,0
Q9FM63:P61430,0.01204401534050703,0
F4KHL6:F4JJE0,0.013382098637521267,0
Q8RXK2:Q8L956,0.014808258973062038,0
Q9SZ95:Q0WUR5,0.015795499086380005,0
P36212:Q8L7L5,0.013502711430191994,0
Q9SQT4:Q9C9S0,0.022681929171085358,0
F4IAT4:O49523,0.012762065045535564,0
O04722:Q8L6Z4,0.012732858769595623,0
Q94AF1:Q43870,0.02757461741566658,0
Q8L4B2:Q9SLG0,0.9631628394126892,1
Q3EB10:Q9FJY5,0.01332997065037489,0
Q9XIQ1:Q9C9M0,0.01340701337903738,0
Q9FJV7:Q6ZY51,0.0132601922377944,0
O48837:Q9FF40,0.01207207515835762,0
A0A1P8AWG3:Q9C6M5,0.01630249060690403,0
Q9LUD3:Q9FYE1,0.017155859619379044,0
Q9M841:A0A1P8B9S9,0.013983065262436867,0
Q9LXV2:Q9FHS7,0.27512288093566895,0
F4I3A7:F4I248,0.011780007742345333,0
Q39083:F4JLM5,0.014300105161964893,0
Q9XI96:Q9SSS5,0.014465028420090675,0
Q9FGC5:Q9FH57,0.02684270776808262,0
Q9FIG7:F4IJX5,0.011837801896035671,0
Q84JF7:Q9C5D2,0.014128467999398708,0
Q9LK86:Q9SVS7,0.011869870126247406,0
C0LGP2:Q9S7I6,0.9447752833366394,1
